userCode,gender,age,hotelName,place,days,price,total,date,month,year,day,day_name
0,male,21,Hotel A,Florianopolis (SC),4,313.02,1252.08,2019-09-26,9,2019,26,Thursday
0,male,21,Hotel K,Salvador (BH),2,263.41,526.82,2019-10-10,10,2019,10,Thursday
0,male,21,Hotel K,Salvador (BH),3,263.41,790.23,2019-11-14,11,2019,14,Thursday
0,male,21,Hotel K,Salvador (BH),4,263.41,1053.64,2019-12-12,12,2019,12,Thursday
0,male,21,Hotel A,Florianopolis (SC),1,313.02,313.02,2019-12-26,12,2019,26,Thursday
0,male,21,Hotel BD,Natal (RN),2,242.88,485.76,2020-01-09,1,2020,9,Thursday
0,male,21,Hotel Z,Aracaju (SE),2,208.04,416.08,2020-02-27,2,2020,27,Thursday
0,male,21,Hotel AU,Recife (PE),4,312.83,1251.32,2020-04-16,4,2020,16,Thursday
0,male,21,Hotel AF,Sao Paulo (SP),2,139.1,278.2,2020-05-07,5,2020,7,Thursday
0,male,21,Hotel K,Salvador (BH),4,263.41,1053.64,2020-05-14,5,2020,14,Thursday
0,male,21,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2020-05-21,5,2020,21,Thursday
0,male,21,Hotel BD,Natal (RN),2,242.88,485.76,2020-06-18,6,2020,18,Thursday
0,male,21,Hotel K,Salvador (BH),1,263.41,263.41,2020-06-25,6,2020,25,Thursday
0,male,21,Hotel BW,Campo Grande (MS),3,60.39,181.17,2020-07-16,7,2020,16,Thursday
0,male,21,Hotel K,Salvador (BH),4,263.41,1053.64,2020-07-23,7,2020,23,Thursday
0,male,21,Hotel BD,Natal (RN),1,242.88,242.88,2020-08-06,8,2020,6,Thursday
0,male,21,Hotel K,Salvador (BH),1,263.41,263.41,2020-09-17,9,2020,17,Thursday
0,male,21,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-10-01,10,2020,1,Thursday
0,male,21,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2020-10-08,10,2020,8,Thursday
0,male,21,Hotel A,Florianopolis (SC),2,313.02,626.04,2020-10-15,10,2020,15,Thursday
